Sample,B0VSB1_Cor,B0VSB1_P,B0VSmSCV2_Cor,B0VSmSCV2_P,B0VSpSCV2_Cor,B0VSpSCV2_P
9096,0.968722862665646,2.2367146971396e-07,0.654257865906253,2.2367146971396e-07,0.753140576245772,2.2367146971396e-07
9095,0.963779912933661,4.61953979016774e-07,0.477786142792992,4.61953979016774e-07,0.700152520134729,4.61953979016774e-07
9094,0.949963033007017,2.27058859005705e-06,0.635701641039804,2.27058859005705e-06,0.727332808458655,2.27058859005705e-06
9093,0.95594279120408,1.21387943560683e-06,0.702365330376066,1.21387943560683e-06,0.773976692845069,1.21387943560683e-06
9092,0.906397582505906,4.82726225033056e-05,0.526023178549247,4.82726225033056e-05,0.800741309988123,4.82726225033056e-05
9091,0.937834123089975,6.58375281978972e-06,0.604863746675499,6.58375281978972e-06,0.5972720824172,6.58375281978972e-06
9090,0.963382088064903,4.87558961189347e-07,0.552435240562946,4.87558961189347e-07,0.655480030584474,4.87558961189347e-07
9089,0.988313871685158,1.68316323596728e-09,0.570942767943172,1.68316323596728e-09,0.534643942103795,1.68316323596728e-09
9088,0.924746854410905,1.67343907500962e-05,0.661769400512237,1.67343907500962e-05,0.73087008317529,1.67343907500962e-05
9087,0.936422526274794,7.34823091278194e-06,0.737508562065228,7.34823091278194e-06,0.750226531353859,7.34823091278194e-06
9086,0.91365044082522,3.26588888711697e-05,0.542895402128489,3.26588888711697e-05,0.598082275075591,3.26588888711697e-05
9085,0.948599779182116,2.59120841262991e-06,0.573469888480152,2.59120841262991e-06,0.691160313590305,2.59120841262991e-06
9084,0.969007591568947,2.13776913921846e-07,0.781894715759193,2.13776913921846e-07,0.704917926291832,2.13776913921846e-07
9083,0.936215369883258,7.46608632102416e-06,0.54103570871238,7.46608632102416e-06,0.633134053046325,7.46608632102416e-06
9082,0.961212657114779,6.47763221952899e-07,0.58553513069649,6.47763221952899e-07,0.628988414293729,6.47763221952899e-07
9081,0.89887065605188,7.01446568308604e-05,0.612507669417889,7.01446568308604e-05,0.683760009513075,7.01446568308604e-05
9080,0.907303156000886,4.60542565224163e-05,0.5379413930983,4.60542565224163e-05,0.723253436200105,4.60542565224163e-05
9079,0.941321318096796,4.96247509168978e-06,0.397083273820783,4.96247509168978e-06,0.664217671744474,4.96247509168978e-06
9078,0.965282019117185,3.74736232835658e-07,0.464412992327597,3.74736232835658e-07,0.73490180889859,3.74736232835658e-07
9077,0.948749787680727,2.55426825045651e-06,0.708025163152003,2.55426825045651e-06,0.695478948248991,2.55426825045651e-06
9076,0.979973228477764,2.45331817520526e-08,0.539438440339226,2.45331817520526e-08,0.604101758758338,2.45331817520526e-08
